Entity,Code,Year,Gender wage gap - Occupation (Skill level): Total
Afghanistan,AFG,2014,7.285
Afghanistan,AFG,2020,-125.212
Angola,AGO,2019,26.308
Angola,AGO,2020,11.319
Angola,AGO,2021,12.747
Angola,AGO,2022,17.318
Angola,AGO,2023,0.024
Argentina,ARG,1986,15.79
Argentina,ARG,1987,12.5
Argentina,ARG,1988,11.31
Argentina,ARG,1991,6.71
Argentina,ARG,1992,8.33
Argentina,ARG,1993,7.69
Argentina,ARG,1994,-2.27
Argentina,ARG,1995,4.44
Argentina,ARG,1996,-2.33
Argentina,ARG,1997,0
Argentina,ARG,1998,6.82
Argentina,ARG,1999,2.44
Argentina,ARG,2000,0
Argentina,ARG,2001,2.5
Argentina,ARG,2002,12.2
Argentina,ARG,2003,-4.55
Argentina,ARG,2004,4.818
Argentina,ARG,2005,5.88
Argentina,ARG,2006,3.525
Argentina,ARG,2007,6.67
Argentina,ARG,2008,2.271
Argentina,ARG,2009,-1.356
Argentina,ARG,2010,-1.849
Argentina,ARG,2011,1.377
Argentina,ARG,2012,-0.865
Argentina,ARG,2013,1.031
Argentina,ARG,2014,-0.466
Argentina,ARG,2017,-0.897
Argentina,ARG,2018,1.533
Argentina,ARG,2019,-0.383
Argentina,ARG,2020,-0.136
Argentina,ARG,2021,1.381
Argentina,ARG,2022,-0.049
Argentina,ARG,2023,1.42
Argentina,ARG,2024,5.941
Armenia,ARM,2014,17.414
Armenia,ARM,2015,19.754
Armenia,ARM,2016,20.013
Armenia,ARM,2017,21.382
Austria,AUT,2018,20.39
Bahamas,BHS,2019,-2.117
Bangladesh,BGD,2013,0.192
Bangladesh,BGD,2017,7.947
Bangladesh,BGD,2022,4.224
Bangladesh,BGD,2023,17.619
Bangladesh,BGD,2024,14.529
Belarus,BLR,2019,24.62
Belgium,BEL,1969,32.16
Belgium,BEL,1970,33.32
Belgium,BEL,1971,32.46
Belgium,BEL,1973,31.15
Belgium,BEL,1974,30.46
Belgium,BEL,1975,28.84
Belgium,BEL,1976,29.95
Belgium,BEL,1977,29.98
Belgium,BEL,1978,30.1
Belgium,BEL,1979,30.35
Belgium,BEL,1980,30.61
Belgium,BEL,1981,27.46
Belgium,BEL,1982,26.39
Belize,BLZ,2017,0
Belize,BLZ,2018,-10.407
Belize,BLZ,2019,-8.585
Belize,BLZ,2020,-8.98
Belize,BLZ,2021,-11.18
Bhutan,BTN,2018,12.353
Bhutan,BTN,2019,4.768
Bhutan,BTN,2020,7.084
Bhutan,BTN,2021,3.333
Bhutan,BTN,2022,-0.554
Bolivia,BOL,1992,21.05
Bolivia,BOL,1993,30.95
Bolivia,BOL,1997,21.21
Bolivia,BOL,1999,-6.333
Bolivia,BOL,2000,11.11
Bolivia,BOL,2001,19.7
Bolivia,BOL,2002,7.94
Bolivia,BOL,2021,3.371
Bolivia,BOL,2022,5.993
Bolivia,BOL,2023,5.137
Bolivia,BOL,2024,4.359
Bosnia and Herzegovina,BIH,2001,6.961
Bosnia and Herzegovina,BIH,2006,9.464
Bosnia and Herzegovina,BIH,2007,8.944
Bosnia and Herzegovina,BIH,2008,6.707
Bosnia and Herzegovina,BIH,2009,0.045
Bosnia and Herzegovina,BIH,2010,2.55
Bosnia and Herzegovina,BIH,2011,-6.651
Bosnia and Herzegovina,BIH,2012,-1.295
Bosnia and Herzegovina,BIH,2013,4.122
Bosnia and Herzegovina,BIH,2014,7.896
Bosnia and Herzegovina,BIH,2015,-6.237
Bosnia and Herzegovina,BIH,2016,8.405
Bosnia and Herzegovina,BIH,2020,19.989
Bosnia and Herzegovina,BIH,2021,8.631
Bosnia and Herzegovina,BIH,2022,9.808
Bosnia and Herzegovina,BIH,2023,10.488
Bosnia and Herzegovina,BIH,2024,6.283
Botswana,BWA,2019,22.726
Botswana,BWA,2020,14.456
Botswana,BWA,2021,7.165
Botswana,BWA,2022,11.97
Botswana,BWA,2023,4.958
Botswana,BWA,2024,10.949
Brazil,BRA,1981,34.21
Brazil,BRA,1982,33.66
Brazil,BRA,1983,35.75
Brazil,BRA,1984,34.04
Brazil,BRA,1985,28.58
Brazil,BRA,1986,34.69
Brazil,BRA,1987,32.01
Brazil,BRA,1988,30.88
Brazil,BRA,1989,33.33
Brazil,BRA,1990,26.11
Brazil,BRA,1992,15.44
Brazil,BRA,1993,25.62
Brazil,BRA,2012,10.496
Brazil,BRA,2013,9.959
Brazil,BRA,2014,12.4
Brazil,BRA,2015,10.579
Brazil,BRA,2016,9.469
Brazil,BRA,2017,8.872
Brazil,BRA,2018,8.919
Brazil,BRA,2019,10.461
Brazil,BRA,2020,5.646
Brazil,BRA,2021,4.325
Brazil,BRA,2022,8.91
Brazil,BRA,2023,8.7
Brazil,BRA,2024,8.819
Brunei,BRN,2014,0.365
Brunei,BRN,2017,0.33
Burkina Faso,BFA,2024,20.056
Cambodia,KHM,1997,19.544
Cambodia,KHM,1999,5.807
Cambodia,KHM,2000,1.901
Cambodia,KHM,2001,16.59
Cambodia,KHM,2003,11.297
Cambodia,KHM,2007,22.56
Cambodia,KHM,2008,20.027
Cambodia,KHM,2009,25.035
Cambodia,KHM,2010,23.966
Cambodia,KHM,2011,29.42
Cambodia,KHM,2012,16.77
Cambodia,KHM,2013,18.893
Cambodia,KHM,2014,17.971
Cambodia,KHM,2015,14.566
Cambodia,KHM,2016,13.039
Cambodia,KHM,2019,11.15
Cambodia,KHM,2020,15.474
Cambodia,KHM,2021,12.245
Cambodia,KHM,2023,11.122
Chile,CHL,1990,26.48
Chile,CHL,1992,17.245
Chile,CHL,1994,17.451
Chile,CHL,1996,10.778
Chile,CHL,1998,9.14
Chile,CHL,2000,8.23
Chile,CHL,2003,16.36
Chile,CHL,2006,10.269
Chile,CHL,2009,11.029
Chile,CHL,2010,16.643
Chile,CHL,2011,14.835
Chile,CHL,2012,18.805
Chile,CHL,2013,12.399
Chile,CHL,2014,15.374
Chile,CHL,2015,16.49
Chile,CHL,2016,14.161
Chile,CHL,2017,14.326
Chile,CHL,2018,14.02
Chile,CHL,2019,11.27
Chile,CHL,2020,10.068
Chile,CHL,2021,9.775
Chile,CHL,2022,16.564
Chile,CHL,2023,15.587
Chile,CHL,2024,16.26
Colombia,COL,2002,-17.063
Colombia,COL,2003,-7.65
Colombia,COL,2004,-8.364
Colombia,COL,2005,-8.523
Colombia,COL,2007,-12.934
Colombia,COL,2008,-7.505
Colombia,COL,2009,-6.734
Colombia,COL,2010,-6.294
Colombia,COL,2011,-6.965
Colombia,COL,2012,-6.918
Colombia,COL,2013,-6.923
Colombia,COL,2014,-5.016
Colombia,COL,2015,-6.469
Colombia,COL,2016,-5.015
Colombia,COL,2017,-6.902
Colombia,COL,2018,-6.584
Colombia,COL,2019,-7.244
Colombia,COL,2021,-9.502
Colombia,COL,2022,-2.459
Colombia,COL,2023,-2.929
Colombia,COL,2024,-4.505
Comoros,COM,2014,-11.965
Comoros,COM,2021,-11.696
Congo,COG,2009,-11.024
Cook Islands,COK,2019,0.505
Cook Islands,COK,2023,16.86
Costa Rica,CRI,1989,4.55
Costa Rica,CRI,1990,3.13
Costa Rica,CRI,1991,1.23
Costa Rica,CRI,1992,1.03
Costa Rica,CRI,1993,-6.53
Costa Rica,CRI,1994,-0.68
Costa Rica,CRI,1995,2.28
Costa Rica,CRI,1996,-5.56
Costa Rica,CRI,1997,-2.15
Costa Rica,CRI,1998,-2.38
Costa Rica,CRI,1999,-1.32
Costa Rica,CRI,2000,-1.31
Costa Rica,CRI,2002,-2.07
Costa Rica,CRI,2003,-7.96
Costa Rica,CRI,2006,-2.17
Costa Rica,CRI,2007,3.16
Costa Rica,CRI,2008,5.86
Costa Rica,CRI,2009,-0.15
Costa Rica,CRI,2010,1.703
Costa Rica,CRI,2011,-1.38
Costa Rica,CRI,2012,-7.238
Costa Rica,CRI,2013,-9.024
Costa Rica,CRI,2014,5.791
Costa Rica,CRI,2015,-5.743
Costa Rica,CRI,2016,-9.122
Costa Rica,CRI,2017,-7.452
Costa Rica,CRI,2018,-8.93
Costa Rica,CRI,2019,-10.919
Costa Rica,CRI,2020,-7.679
Costa Rica,CRI,2021,-8.924
Costa Rica,CRI,2022,-13.312
Costa Rica,CRI,2023,-8.742
Costa Rica,CRI,2024,-6.339
Cote d'Ivoire,CIV,2017,15.064
Cote d'Ivoire,CIV,2019,26.866
Curacao,CUW,2018,7.95
Czechia,CZE,2012,21.25
Czechia,CZE,2013,20.69
Czechia,CZE,2014,20.77
Czechia,CZE,2015,21.12
Czechia,CZE,2016,20.38
Czechia,CZE,2017,20.01
Czechia,CZE,2018,19.25
Czechia,CZE,2019,18.03
Czechia,CZE,2020,15.91
Czechia,CZE,2021,14.88
Democratic Republic of Congo,COD,2005,3.461
Democratic Republic of Congo,COD,2012,21.924
